ticker,start_date,end_date
AAPL,1980-12-12,
MSFT,1986-03-13,
JNJ,1980-01-02,
XOM,1980-01-02,
PG,1980-01-02,
KO,1980-01-02,
GE,1980-01-02,2018-06-26
JPM,1980-03-17,
HD,1981-09-22,
DIS,1980-01-02,
BAC,1980-01-02,
PEP,1980-01-02,
IBM,1980-01-02,
WMT,1980-01-02,
CVX,1980-01-02,
GOOGL,2004-08-19,
META,2012-05-18,
AMZN,1997-05-15,
TSLA,2010-06-29,
MA,2006-05-25,
V,2008-03-19,
UNH,1984-10-17,
NVDA,1999-01-22,
BRK-B,1996-05-09,
ADBE,1986-08-13,
NFLX,2002-05-23,
CRM,2004-06-23,
AVGO,2009-08-06,
COST,1986-07-09,
LLY,1980-01-02,
